ETF,Sector,Ticker,Name,Weight,Performance,Contribution
XLK,Technology,AAPL,Apple,22.0,1.0,0.22
XLK,Technology,CSCO,Cisco,2.0,6.6,0.13
XLK,Technology,ADBE,Adobe,2.0,-9.39,-0.19
XLK,Technology,INTC,Intel,1.5,-12.75,-0.19
XLK,Technology,CRM,Salesforce,2.5,-11.1,-0.28
XLK,Technology,AVGO,Broadcom,5.0,-6.04,-0.3
XLK,Technology,NVDA,NVIDIA,6.0,-6.59,-0.4
XLK,Technology,AMD,AMD,2.5,-21.52,-0.54
XLK,Technology,ORCL,Oracle,2.0,-29.37,-0.59
XLK,Technology,MSFT,Microsoft,21.0,-11.18,-2.35
XLF,Financials,BRK-B,Berkshire Hathaway,14.0,3.27,0.46
XLF,Financials,SPGI,S&P Global,2.5,-0.61,-0.02
XLF,Financials,GS,Goldman Sachs,2.5,-2.02,-0.05
XLF,Financials,MS,Morgan Stanley,2.5,-4.73,-0.12
XLF,Financials,BAC,Bank of America,5.0,-2.75,-0.14
XLF,Financials,WFC,Wells Fargo,3.5,-4.48,-0.16
XLF,Financials,JPM,JPMorgan Chase,10.0,-2.02,-0.2
XLF,Financials,BLK,BlackRock,2.0,-10.31,-0.21
XLF,Financials,MA,Mastercard,7.0,-5.58,-0.39
XLF,Financials,V,Visa,8.0,-5.7,-0.46
XLE,Energy,XOM,Exxon Mobil,23.0,0.98,0.23
XLE,Energy,EOG,EOG Resources,4.5,0.18,0.01
XLE,Energy,SLB,Schlumberger,5.0,0.08,0.0
XLE,Energy,VLO,Valero Energy,3.0,-0.52,-0.02
XLE,Energy,PSX,Phillips 66,3.5,-1.26,-0.04
XLE,Energy,OXY,Occidental,2.5,-2.03,-0.05
XLE,Energy,COP,ConocoPhillips,7.5,-1.49,-0.11
XLE,Energy,MPC,Marathon Petroleum,4.0,-2.86,-0.11
XLE,Energy,CVX,Chevron,17.0,-3.41,-0.58
XLV,Healthcare,LLY,Eli Lilly,8.0,28.23,2.26
XLV,Healthcare,JNJ,Johnson & Johnson,8.5,7.15,0.61
XLV,Healthcare,MRK,Merck,5.0,11.09,0.55
XLV,Healthcare,ABBV,AbbVie,5.0,3.62,0.18
XLV,Healthcare,TMO,Thermo Fisher,4.0,4.2,0.17
XLV,Healthcare,BMY,Bristol-Myers,2.5,6.59,0.16
XLV,Healthcare,DHR,Danaher,3.0,2.89,0.09
XLV,Healthcare,PFE,Pfizer,5.0,1.09,0.05
XLV,Healthcare,ABT,Abbott Labs,3.5,0.73,0.03
XLV,Healthcare,UNH,UnitedHealth,10.0,-12.57,-1.26
XLY,Consumer Discretionary,TJX,TJX Companies,2.5,5.7,0.14
XLY,Consumer Discretionary,MCD,McDonalds,5.0,-0.21,-0.01
XLY,Consumer Discretionary,SBUX,Starbucks,3.0,-2.14,-0.06
XLY,Consumer Discretionary,LOW,Lowes,3.5,-3.84,-0.13
XLY,Consumer Discretionary,BKNG,Booking Holdings,2.5,-9.26,-0.23
XLY,Consumer Discretionary,NKE,Nike,3.5,-8.44,-0.3
XLY,Consumer Discretionary,CMG,Chipotle,2.0,-22.97,-0.46
XLY,Consumer Discretionary,AMZN,Amazon,23.0,-2.77,-0.64
XLY,Consumer Discretionary,HD,Home Depot,8.0,-10.89,-0.87
XLY,Consumer Discretionary,TSLA,Tesla,12.0,-13.56,-1.63
XLI,Industrials,CAT,Caterpillar,5.5,4.43,0.24
XLI,Industrials,UPS,UPS,3.0,6.1,0.18
XLI,Industrials,UNP,Union Pacific,4.5,3.66,0.16
XLI,Industrials,DE,Deere & Co,4.0,1.91,0.08
XLI,Industrials,MMM,3M,2.5,-0.18,-0.0
XLI,Industrials,LMT,Lockheed Martin,3.0,-5.37,-0.16
XLI,Industrials,RTX,RTX Corp,5.0,-5.33,-0.27
XLI,Industrials,GE,GE Aerospace,4.0,-8.12,-0.32
XLI,Industrials,HON,Honeywell,4.5,-11.65,-0.52
XLI,Industrials,BA,Boeing,4.0,-19.42,-0.78
XLP,Consumer Staples,KO,Coca-Cola,10.0,4.13,0.41
XLP,Consumer Staples,CL,Colgate-Palmolive,3.0,3.98,0.12
XLP,Consumer Staples,WMT,Walmart,8.0,0.81,0.07
XLP,Consumer Staples,PM,Philip Morris,5.0,1.32,0.07
XLP,Consumer Staples,PG,Procter & Gamble,15.0,-0.54,-0.08
XLP,Consumer Staples,KMB,Kimberly-Clark,2.0,-12.8,-0.26
XLP,Consumer Staples,COST,Costco,9.0,-3.32,-0.3
XLP,Consumer Staples,MDLZ,Mondelez,4.0,-7.56,-0.3
XLP,Consumer Staples,MO,Altria,3.5,-8.71,-0.3
XLP,Consumer Staples,PEP,PepsiCo,10.0,-4.13,-0.41
XLU,Utilities,AEP,American Electric,5.0,3.82,0.19
XLU,Utilities,D,Dominion Energy,4.5,1.1,0.05
XLU,Utilities,SRE,Sempra,5.0,-0.72,-0.04
XLU,Utilities,XEL,Xcel Energy,3.5,-1.26,-0.04
XLU,Utilities,PEG,PSEG,3.0,-2.61,-0.08
XLU,Utilities,EXC,Exelon,4.0,-4.83,-0.19
XLU,Utilities,DUK,Duke Energy,7.5,-3.68,-0.28
XLU,Utilities,NEE,NextEra Energy,15.0,-2.96,-0.44
XLU,Utilities,SO,Southern Company,8.0,-6.43,-0.51
XLU,Utilities,CEG,Constellation Energy,5.5,-13.56,-0.75
XLB,Materials,NEM,Newmont,5.0,6.18,0.31
XLB,Materials,NUE,Nucor,4.0,5.68,0.23
XLB,Materials,CTVA,Corteva,3.5,2.52,0.09
XLB,Materials,APD,Air Products,8.0,0.63,0.05
XLB,Materials,SHW,Sherwin-Williams,7.0,0.29,0.02
XLB,Materials,FCX,Freeport-McMoRan,6.0,-2.99,-0.18
XLB,Materials,ECL,Ecolab,5.0,-4.52,-0.23
XLB,Materials,DOW,Dow Inc,4.0,-13.72,-0.55
XLB,Materials,LIN,Linde,18.0,-7.21,-1.3
XLB,Materials,DD,DuPont,3.0,-52.64,-1.58
XLRE,Real Estate,WELL,Welltower,4.5,9.48,0.43
XLRE,Real Estate,SPG,Simon Property,4.0,1.84,0.07
XLRE,Real Estate,PLD,Prologis,11.0,-1.02,-0.11
XLRE,Real Estate,VICI,VICI Properties,3.5,-6.94,-0.24
XLRE,Real Estate,O,Realty Income,4.0,-6.18,-0.25
XLRE,Real Estate,CCI,Crown Castle,5.5,-7.78,-0.43
XLRE,Real Estate,DLR,Digital Realty,4.0,-11.77,-0.47
XLRE,Real Estate,AMT,American Tower,9.0,-5.36,-0.48
XLRE,Real Estate,PSA,Public Storage,5.0,-10.27,-0.51
XLRE,Real Estate,EQIX,Equinix,7.5,-10.45,-0.78
