date,close,system_a,a_conf,a_reasons,system_b,b_conf,b_reasons,b_wave,b_trend,agreement,final,confidence,entry,stop,target1,target2,target3
2023-04-25T00:00:00.000Z,406.08,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,406.08,398.6,417.3,424.78,436.0
2023-05-02T00:00:00.000Z,410.84,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,410.84,401.98,424.13,432.99,446.28
2023-05-09T00:00:00.000Z,410.93,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,410.93,401.59,424.94,434.28,448.29
2023-05-16T00:00:00.000Z,410.25,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,410.25,400.97,424.17,433.45,447.37
2023-06-20T00:00:00.000Z,437.18,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,437.18,428.18,450.68,459.68,473.18
2023-06-22T00:00:00.000Z,436.51,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,436.51,428.11,449.11,457.51,470.11
2023-06-27T00:00:00.000Z,436.17,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,436.17,427.77,448.77,457.17,469.77
2023-08-16T00:00:00.000Z,439.64,CALL,0.8,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.75,439.64,430.34,453.59,462.89,476.84
2023-08-21T00:00:00.000Z,439.34,PUT,0.8,Bearish SMA,PUT,0.55,Downward momentum,5,UP,AGREE,PUT,0.68,439.34,449.4,424.25,414.19,399.1
2023-08-30T00:00:00.000Z,451.01,PUT,0.8,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.75,451.01,460.21,436.07,426.11,411.17
2023-09-01T00:00:00.000Z,451.19,PUT,0.8,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.75,451.19,460.26,436.34,426.44,411.59
2023-09-07T00:00:00.000Z,444.85,PUT,0.9,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.8,444.85,453.99,431.14,422.0,408.29
2023-09-18T00:00:00.000Z,443.63,PUT,0.8,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.75,443.63,451.27,432.17,424.53,413.07
2023-09-28T00:00:00.000Z,428.52,PUT,0.65,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.68,428.52,437.98,414.33,404.87,390.68
2023-10-12T00:00:00.000Z,433.66,PUT,0.65,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.68,433.66,444.9,416.8,405.56,388.7
2023-10-19T00:00:00.000Z,426.43,PUT,0.9,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.8,426.43,438.31,408.61,396.73,378.91
2023-11-02T00:00:00.000Z,430.76,PUT,0.65,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.68,430.76,442.72,412.82,400.86,382.92
2023-11-09T00:00:00.000Z,433.84,PUT,0.65,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.68,433.84,444.16,418.36,408.04,392.56
2024-04-16T00:00:00.000Z,503.53,CALL,0.9,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.8,503.53,491.33,521.83,534.03,552.33
2024-04-24T00:00:00.000Z,505.41,PUT,0.8,Bearish SMA,PUT,0.55,Downward momentum,5,UP,AGREE,PUT,0.68,505.41,518.69,485.49,472.21,452.29
2024-04-30T00:00:00.000Z,501.98,PUT,0.65,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.68,501.98,515.62,481.52,467.88,447.42
2024-05-07T00:00:00.000Z,517.14,PUT,0.9,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.8,517.14,527.0,498.78,486.54,468.18
2024-07-31T00:00:00.000Z,550.81,CALL,0.8,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.75,550.81,535.63,573.58,588.76,611.53
2024-08-02T00:00:00.000Z,532.9,CALL,0.8,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.75,532.9,516.8,559.39,577.05,603.54
2024-08-08T00:00:00.000Z,530.65,PUT,0.9,Bearish SMA,PUT,0.55,Downward momentum,3,UP,AGREE,PUT,0.73,530.65,553.17,496.87,474.35,440.57
2024-08-09T00:00:00.000Z,532.99,PUT,0.8,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.75,532.99,555.47,499.27,476.79,443.07
2024-09-05T00:00:00.000Z,549.61,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,549.61,536.75,568.9,581.76,601.05
2024-09-09T00:00:00.000Z,546.41,CALL,0.8,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.75,546.41,532.11,567.86,582.16,603.61
2024-10-24T00:00:00.000Z,579.24,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,579.24,569.42,593.97,603.79,618.52
2024-10-31T00:00:00.000Z,568.64,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,568.64,558.1,584.45,594.99,610.8
2024-11-21T00:00:00.000Z,593.67,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,593.67,581.03,612.63,625.27,644.23
2024-12-10T00:00:00.000Z,602.8,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,602.8,595.08,614.38,622.1,633.68
2024-12-17T00:00:00.000Z,604.29,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,604.29,597.39,614.64,621.54,631.89
2024-12-24T00:00:00.000Z,601.3,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,601.3,588.54,620.44,633.2,652.34
2024-12-30T00:00:00.000Z,588.22,CALL,0.8,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.75,588.22,573.0,611.05,626.27,649.1
2025-01-13T00:00:00.000Z,581.39,PUT,0.8,Bearish SMA,PUT,0.55,Downward momentum,5,DOWN,AGREE,PUT,0.68,581.39,598.67,555.47,538.19,512.27
2025-01-15T00:00:00.000Z,592.78,PUT,0.8,Bearish SMA,PUT,0.7,Wave 2 at Fib resistance,2,DOWN,AGREE,PUT,0.75,592.78,609.28,567.73,551.03,525.98
2025-01-17T00:00:00.000Z,597.58,PUT,0.8,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.75,597.58,611.68,572.5,555.78,530.7
2025-02-06T00:00:00.000Z,606.32,CALL,0.9,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.8,606.32,592.94,626.39,639.77,659.84
2025-02-10T00:00:00.000Z,604.85,CALL,0.8,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.75,604.85,591.53,624.83,638.15,658.13
2025-02-25T00:00:00.000Z,594.24,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,594.24,582.84,611.34,622.74,639.84
2025-02-28T00:00:00.000Z,594.18,CALL,0.8,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.75,594.18,580.54,614.64,628.28,648.74
2025-03-25T00:00:00.000Z,575.46,PUT,0.65,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.68,575.46,595.88,544.83,524.41,493.78
2025-04-10T00:00:00.000Z,524.58,PUT,0.65,Bearish SMA,PUT,0.55,Downward momentum,1,DOWN,AGREE,PUT,0.6,524.58,568.62,458.52,414.48,348.42
2025-04-15T00:00:00.000Z,537.61,PUT,0.65,Bearish SMA,PUT,0.7,Wave 4 at Fib resistance,4,DOWN,AGREE,PUT,0.68,537.61,583.09,469.39,423.91,355.69
2025-05-07T00:00:00.000Z,561.15,CALL,0.8,"Bullish SMA, Crossover",CALL,0.55,Upward momentum,4,DOWN,AGREE,CALL,0.68,561.15,540.09,592.74,613.8,645.39
2025-08-21T00:00:00.000Z,635.55,CALL,0.65,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.68,635.55,624.99,651.39,661.95,677.79
2025-09-02T00:00:00.000Z,640.27,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,640.27,630.29,655.24,665.22,680.19
2025-10-14T00:00:00.000Z,662.23,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,662.23,648.29,683.14,697.08,717.99
2025-10-21T00:00:00.000Z,671.29,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,671.29,655.15,695.5,711.64,735.85
2025-11-04T00:00:00.000Z,675.24,CALL,0.65,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.68,675.24,661.3,696.15,710.09,731.0
2025-11-18T00:00:00.000Z,660.08,CALL,0.9,Bullish SMA,CALL,0.7,Wave 4 at Fib support,4,UP,AGREE,CALL,0.8,660.08,645.07,685.82,702.98,728.72
2025-11-21T00:00:00.000Z,659.03,CALL,0.8,Bullish SMA,CALL,0.7,Wave 2 at Fib support,2,UP,AGREE,CALL,0.75,659.03,644.45,690.5,711.48,742.95
